Date,M&M_close,M& M_vol,M& M_returns,Maruti_close,Maruti_vol,Maruti_returns,TATA_close,TATA_vol,TATA_returns
5/7/2019,636,3160875,2.5,6702,586684,7.649902,190.949997,30516908,8.850006
5/8/2019,621.650024,3853705,14.349976,6650.149902,552749,51.850098,185.100006,28443735,5.849991
5/9/2019,625.450012,1366143,-3.799988,6624.950195,570000,25.199707,186.350006,32841616,-1.25
5/10/2019,628.75,2093110,-3.299988,6631.600098,608669,-6.649903,185.899994,28910719,0.450012
5/13/2019,617.599976,1463136,11.150024,6543.75,555672,87.850098,180.75,15373536,5.149994
5/14/2019,614.25,2756314,3.349976,6576.200195,843313,-32.450195,184.5,21412933,-3.75
5/15/2019,609.650024,2805369,4.599976,6493.75,612357,82.450195,169.449997,31427815,15.050003
5/16/2019,605.25,1940170,4.400024,6479.649902,555991,14.100098,175.399994,30308248,-5.949997
5/17/2019,619.650024,2599966,-14.400024,6706.850098,782196,-227.200196,176.850006,21575989,-1.450012
5/20/2019,653.25,4938702,-33.599976,7084.600098,1286198,-377.75,190.149994,29873588,-13.299988
5/21/2019,639.150024,2150188,14.099976,6875.350098,973836,209.25,176.800003,57822527,13.349991
5/22/2019,640.549988,1458607,-1.399964,6899.799805,645280,-24.449707,179.100006,25845734,-2.300003
5/23/2019,639.5,3161573,1.049988,6929.25,1364516,-29.450195,175.149994,22912106,3.950012
5/24/2019,665.450012,3165620,-25.950012,7093.149902,1002742,-163.899902,182.300003,22494409,-7.150009
5/27/2019,679.349976,2987573,-13.899964,7068.450195,1022289,24.699707,181.350006,14774311,0.949997
5/28/2019,670.549988,5411769,8.799988,7054.649902,915732,13.800293,180.25,23272915,1.100006
5/29/2019,672.150024,5418102,-1.600036,6891.450195,768022,163.199707,176.350006,15222008,3.899994
5/30/2019,661.700012,5394745,10.450012,6867.700195,850456,23.75,175.149994,18078726,1.200012
5/31/2019,647.049988,4226041,14.650024,6869.850098,1084204,-2.149903,172.600006,21488115,2.549988
6/3/2019,653.400024,4170532,-6.350036,7022.899902,1157809,-153.049804,174.5,21288078,-1.899994
6/4/2019,650.75,1640476,2.650024,7051.799805,575281,-28.899903,173.25,17428731,1.25
6/6/2019,634.099976,3846513,16.650024,6988.700195,720856,63.09961,169.699997,16874819,3.550003
6/7/2019,644.049988,2173168,-9.950012,6948.25,470376,40.450195,169.5,14465703,0.199997
6/10/2019,646.950012,2306052,-2.900024,6969.950195,395116,-21.700195,166.199997,20209862,3.300003
6/11/2019,636.849976,2274832,10.100036,6978.299805,387309,-8.34961,170.75,20363493,-4.550003
6/12/2019,632.200012,1734002,4.649964,6852,494886,126.299805,169.050003,12819208,1.699997
6/13/2019,641.049988,2141936,-8.849976,6784.700195,561159,67.299805,167.399994,15144315,1.650009
6/14/2019,637.25,1338649,3.799988,6747.399902,449930,37.300293,164.199997,10920508,3.199997
6/17/2019,625.049988,2647789,12.200012,6581.649902,567397,165.75,158.75,14381813,5.449997
6/18/2019,625.900024,2252507,-0.850036,6439,1048826,142.649902,158.300003,14003043,0.449997
6/19/2019,615.150024,2316163,10.75,6424.649902,715496,14.350098,154.649994,25257018,3.650009
6/20/2019,627.150024,2283701,-12,6616.75,992450,-192.100098,159.25,19247947,-4.600006
6/21/2019,627.450012,2713987,-0.299988,6417.25,1345890,199.5,158.899994,23304207,0.350006
6/24/2019,634.849976,2166403,-7.399964,6459.899902,911826,-42.649902,159.300003,13185118,-0.400009
6/25/2019,641.650024,3352119,-6.800048,6522.5,580392,-62.600098,160.449997,13368928,-1.149994
6/26/2019,643.5,2124949,-1.849976,6480.299805,572239,42.200195,161.100006,18481332,-0.650009
6/27/2019,657.900024,3744033,-14.400024,6486.700195,1022011,-6.40039,165.850006,26612983,-4.75
6/28/2019,655.349976,3503838,2.550048,6534.649902,618701,-47.949707,162.550003,15092229,3.300003
7/1/2019,660,3547891,-4.650024,6507.850098,754667,26.799804,168,23990900,-5.449997
7/2/2019,666.25,2275170,-6.25,6560,518084,-52.149902,163.75,16903683,4.25
7/3/2019,669.25,2615478,-3,6533.799805,517709,26.200195,162.300003,13606179,1.449997
7/4/2019,672.150024,1777421,-2.900024,6544.450195,576449,-10.65039,165.199997,19512938,-2.899994
7/5/2019,642.049988,3039710,30.100036,6360,866460,184.450195,160.199997,14374084,5
7/8/2019,635.849976,3903971,6.200012,6038.700195,1927495,321.299805,154.550003,15149035,5.649994
7/9/2019,632.700012,1260744,3.149964,5945.450195,1337999,93.25,155.800003,16112345,-1.25
7/10/2019,621.650024,2081711,11.049988,5927.899902,809385,17.550293,151.649994,31737846,4.150009
7/11/2019,634.150024,1399434,-12.5,6031.200195,779113,-103.300293,156.800003,24099895,-5.150009
7/12/2019,631.900024,1806912,2.25,5971.450195,719883,59.75,159.300003,27307153,-2.5
7/15/2019,631.849976,2223638,0.050048,6079.700195,675004,-108.25,160.949997,19924720,-1.649994
7/16/2019,622.900024,3177195,8.949952,6158.049805,627259,-78.34961,170,39025331,-9.050003
7/17/2019,617.950012,1881478,4.950012,6075.700195,598778,82.34961,167.899994,25236730,2.100006
7/18/2019,597.400024,4915489,20.549988,5882.350098,1097857,193.350097,160.75,19055022,7.149994
7/19/2019,571.299988,6294798,26.100036,5769.100098,1228672,113.25,154.850006,18954216,5.899994
7/22/2019,564.900024,4198301,6.399964,5912.5,897510,-143.399902,156.75,15995349,-1.899994
7/23/2019,559.099976,4805198,5.800048,5873.75,841517,38.75,156.199997,12942555,0.550003
7/24/2019,550,3041526,9.099976,5768,800687,105.75,151.25,16292964,4.949997
7/25/2019,547.549988,4763735,2.450012,5756.75,990461,11.25,144.300003,34364032,6.949997
7/26/2019,564.450012,5063750,-16.900024,5805.649902,2346714,-48.899902,147.149994,83905651,-2.849991
7/29/2019,553.150024,2984154,11.299988,5561.25,1548125,244.399902,137.550003,38844222,9.599991
7/30/2019,548.75,3186153,4.400024,5507.149902,1189163,54.100098,133.449997,35725524,4.100006
7/31/2019,550,2986522,-1.25,5469.700195,1053202,37.449707,135.600006,27024859,-2.150009
8/1/2019,548.549988,2737518,1.450012,5572.600098,1134178,-102.899903,129.550003,38991424,6.050003
8/2/2019,556.450012,5848740,-7.900024,5689.350098,1391678,-116.75,130.699997,44016138,-1.149994
8/5/2019,545.450012,3152495,11,5670.350098,1122496,19,123.75,35452262,6.949997
8/6/2019,549.450012,2811436,-4,5833.299805,1125521,-162.949707,122.5,34790369,1.25
8/7/2019,518.299988,8411409,31.150024,5775,955090,58.299805,117.400002,37287779,5.099998
8/8/2019,539.549988,5648169,-21.25,5902.25,831725,-127.25,124.050003,35876237,-6.650001
8/9/2019,545.549988,4313483,-6,6099.899902,1445079,-197.649902,122.050003,39245417,2
8/13/2019,512.400024,3618940,33.149964,5815.450195,909354,284.449707,121.949997,35498118,0.100006
8/14/2019,523.549988,4641413,-11.149964,5816,1030939,-0.549805,120.900002,30136178,1.049995
8/16/2019,527.849976,3120580,-4.299988,5975.049805,1207075,-159.049805,121.349998,35264621,-0.449996
8/19/2019,520.549988,2998027,7.299988,5982.549805,902389,-7.5,120.800003,23194786,0.549995
8/20/2019,527.799988,3175896,-7.25,6190.950195,2198337,-208.40039,123.849998,34809225,-3.049995
8/21/2019,520.900024,2709407,6.899964,6228.899902,2128640,-37.949707,112.400002,83509593,11.449996
8/22/2019,511.799988,2516270,9.100036,6208.549805,1551394,20.350097,107.699997,58612708,4.700005
8/23/2019,533.25,2807785,-21.450012,6254.350098,1232405,-45.800293,111.050003,41178606,-3.350006
8/26/2019,544.299988,4036331,-11.049988,6255.549805,1552155,-1.199707,110.550003,47757623,0.5
8/27/2019,554.049988,4144339,-9.75,6277.75,1078065,-22.200195,120.349998,70636441,-9.799995
8/28/2019,539.700012,3322911,14.349976,6103.399902,1242304,174.350098,116.349998,74245952,4
8/29/2019,528,4399017,11.700012,6110.200195,1006756,-6.800293,114.300003,48098849,2.049995
8/30/2019,528.799988,2929342,-0.799988,6123.75,794518,-13.549805,116.699997,42250518,-2.399994
9/3/2019,515.450012,3379359,13.349976,6049.700195,1173373,74.049805,112.650002,36905736,4.049995
9/4/2019,505.700012,3431149,9.75,5830.75,1964992,218.950195,109.5,76317447,3.150002
9/5/2019,517,2329699,-11.299988,5968.649902,1149196,-137.899902,118.050003,75789807,-8.550003
9/6/2019,529.5,2670087,-12.5,6186.950195,1524051,-218.300293,121.25,67761586,-3.199997
9/9/2019,532.549988,3061953,-3.049988,6335.5,2061193,-148.549805,121.900002,51297512,-0.650002
9/11/2019,545.75,3224627,-13.200012,6597.299805,2492039,-261.799805,134.350006,96568372,-12.450004
9/12/2019,543.599976,3726538,2.150024,6392.049805,1892862,205.25,127.949997,72084195,6.400009
9/13/2019,551.25,4358612,-7.650024,6450.299805,1929801,-58.25,129.550003,69088728,-1.600006
9/16/2019,536.950012,2441611,14.299988,6412.75,1377371,37.549805,128.600006,40951047,0.949997
9/17/2019,521.950012,2445056,15,6130.399902,1706567,282.350098,122,47652658,6.600006
9/18/2019,527,2401637,-5.049988,6095.049805,1955137,35.350097,121.75,53048836,0.25
9/19/2019,519.299988,2336366,7.700012,5971.75,1721431,123.299805,124.199997,51011848,-2.449997
9/20/2019,568.900024,14378491,-49.600036,6591.950195,4892962,-620.200195,133.25,89223235,-9.050003
9/23/2019,565,9599883,3.900024,6897.850098,3140286,-305.899903,127.900002,51032391,5.349998
9/24/2019,558.75,3615703,6.25,7009.100098,2354230,-111.25,130.899994,41659100,-2.999992
9/25/2019,534.700012,5044376,24.049988,6638.5,2296343,370.600098,123.050003,47567575,7.849991
9/26/2019,566.950012,6270296,-32.25,6857.450195,1893865,-218.950195,124.5,45866398,-1.449997
9/27/2019,555.099976,4326078,11.850036,6773.700195,1457894,83.75,119.900002,45875793,4.599998
9/30/2019,547.150024,3381186,7.949952,6715.799805,1264165,57.90039,117.449997,32158885,2.450005
10/1/2019,556.700012,5664019,-9.549988,6782,1473158,-66.200195,115.300003,40232789,2.149994
10/3/2019,562.700012,3797753,-6,6754.049805,850852,27.950195,122.400002,65103359,-7.099999
10/4/2019,564.25,4653685,-1.549988,6649.600098,1065056,104.449707,119.650002,35712218,2.75
10/7/2019,552.950012,2367535,11.299988,6629.850098,696713,19.75,117.5,35471184,2.150002
10/9/2019,576.549988,4863273,-23.599976,6719.549805,1017731,-89.699707,120.900002,44666296,-3.400002
10/10/2019,566.049988,2156410,10.5,6605.450195,985523,114.09961,116.800003,31229192,4.099999
10/11/2019,560.099976,3133395,5.950012,6698.899902,835065,-93.449707,121.300003,41027561,-4.5
10/14/2019,568.650024,2630640,-8.550048,6821.100098,963217,-122.200196,127.849998,68048611,-6.549995
10/15/2019,583.400024,4967499,-14.75,6985.75,1276061,-164.649902,126.949997,57548920,0.900001
10/16/2019,584.25,2279203,-0.849976,6975,876844,10.75,125.849998,31522518,1.099999
10/17/2019,593.299988,3744228,-9.049988,7123.899902,1248295,-148.899902,139.5,67933615,-13.650002
10/18/2019,593.299988,2955289,0,7302.299805,1463126,-178.399903,136.850006,64884113,2.649994
10/22/2019,595.799988,3494913,-2.5,7256.25,959552,46.049805,131.75,53532482,5.100006
10/23/2019,591.849976,2371317,3.950012,7440.25,1278695,-184,132.649994,50293574,-0.899994
10/24/2019,581.049988,2212393,10.799988,7391.399902,1658859,48.850098,133.5,41951668,-0.850006
10/25/2019,577.700012,2284548,3.349976,7471.149902,1353615,-79.75,126.849998,42868958,6.650002
10/27/2019,591.5,851951,-13.799988,7422.100098,128351,49.049804,147.699997,39489993,-20.849999
10/29/2019,611.799988,6543163,-20.299988,7721.299805,1396732,-299.199707,172.449997,184435614,-24.75
10/30/2019,616.549988,4296705,-4.75,7556.950195,1243366,164.34961,171.899994,90759545,0.550003
10/31/2019,606.450012,4595842,10.099976,7559.399902,1067275,-2.449707,177.699997,81392641,-5.800003
11/1/2019,589.75,7558094,16.700012,7618.649902,1151035,-59.25,175.050003,40613555,2.649994
11/4/2019,586.400024,3128961,3.349976,7424,824953,194.649902,172.199997,40641411,2.850006
11/5/2019,580.150024,2653917,6.25,7389,1207089,35,172,36268596,0.199997
11/6/2019,579.799988,2763550,0.350036,7311.149902,923041,77.850098,174.5,28923778,-2.5
11/7/2019,580.349976,3279435,-0.549988,7287.149902,877885,24,171.5,38625387,3
11/8/2019,580,8374614,0.349976,7200.549805,983936,86.600097,169.050003,39102947,2.449997
11/11/2019,575,3492576,5,7137.299805,864507,63.25,172,22192924,-2.949997
11/13/2019,574.700012,3342543,0.299988,7154.600098,687017,-17.300293,170.600006,33926248,1.399994
11/14/2019,578.450012,2193683,-3.75,7247.149902,802462,-92.549804,167.050003,25433481,3.550003
11/15/2019,583.049988,3063043,-4.599976,7147.200195,1049492,99.949707,168.550003,29614682,-1.5
11/18/2019,573.700012,3212994,9.349976,7098.450195,537228,48.75,170.100006,19053232,-1.550003
11/19/2019,560.650024,3208662,13.049988,7045.450195,755114,53,167.75,19599195,2.350006
11/20/2019,560.450012,2876499,0.200012,7152.75,1289948,-107.299805,167.399994,19504078,0.350006
11/21/2019,551.799988,3346254,8.650024,7019.049805,763454,133.700195,164.149994,21609120,3.25
11/22/2019,546,2798026,5.799988,7060.450195,685503,-41.40039,162.350006,21200979,1.799988
11/25/2019,547.799988,3054435,-1.799988,7236.100098,952419,-175.649903,166.100006,26131453,-3.75
11/26/2019,538.599976,4408905,9.200012,7125,1249810,111.100098,163.399994,25520822,2.700012
11/27/2019,539.950012,6630809,-1.350036,7294.399902,1070680,-169.399902,165.899994,29527702,-2.5
11/28/2019,541.950012,2426425,-2,7261.25,602077,33.149902,164.800003,16609775,1.099991
11/29/2019,530.549988,3328894,11.400024,7245.850098,792083,15.399902,161.5,20010205,3.300003
12/2/2019,534.150024,4087250,-3.600036,7139.350098,703838,106.5,161.050003,19441998,0.449997
12/3/2019,522.900024,3052238,11.25,7138.799805,668269,0.550293,158.199997,21156471,2.850006
12/4/2019,525.549988,2612985,-2.649964,7076.100098,737723,62.699707,169.399994,72084687,-11.199997
12/5/2019,524.75,2332044,0.799988,7012.850098,602894,63.25,166.100006,31787128,3.299988
12/6/2019,510.200012,3409528,14.549988,6886.700195,770911,126.149903,161.5,27727162,4.600006
12/9/2019,513.650024,2566094,-3.450012,6994.75,1479832,-108.049805,160.5,30920409,1
12/10/2019,505.75,2462096,7.900024,6963.649902,790378,31.100098,159.699997,26259395,0.800003
12/11/2019,507.75,2148791,-2,6993.200195,603048,-29.550293,161.800003,21154277,-2.100006
12/12/2019,511.899994,2994158,-4.149994,6999.799805,932863,-6.59961,173.350006,66138915,-11.550003
12/13/2019,516.200012,4066433,-4.300018,7214.950195,1199360,-215.15039,176.699997,93019636,-3.349991
12/16/2019,508.850006,2346317,7.350006,7140.049805,727854,74.90039,174.949997,26249975,1.75
12/17/2019,505.850006,3521314,3,7195.149902,939918,-55.100097,180.199997,38213263,-5.25
12/18/2019,522.650024,10092679,-16.800018,7240.649902,841740,-45.5,174.800003,63861334,5.399994
12/19/2019,535.400024,10732682,-12.75,7240.649902,1001697,0,179.149994,53466924,-4.349991
12/20/2019,530.599976,4746509,4.800048,7261.5,679779,-20.850098,175.949997,48818008,3.199997
12/23/2019,525.900024,2963573,4.699952,7360.899902,914067,-99.399902,176.050003,27192195,-0.100006
12/24/2019,527.5,2372038,-1.599976,7327.799805,850537,33.100097,175.5,20560311,0.550003
12/26/2019,528.349976,4623580,-0.849976,7240.899902,556360,86.899903,174.600006,18785333,0.899994
12/27/2019,530.150024,3017840,-1.800048,7344.899902,665383,-104,176.149994,12095797,-1.549988
12/30/2019,536.900024,4697710,-6.75,7416.25,739631,-71.350098,183.699997,40948394,-7.550003
12/31/2019,531.549988,2502181,5.350036,7368.600098,560622,47.649902,185.149994,52869996,-1.449997
1/1/2020,536.599976,2611808,-5.049988,7311.700195,634725,56.899903,184.449997,25968357,0.699997
1/2/2020,539.849976,2776519,-3.25,7329.850098,616838,-18.149903,193.75,57289863,-9.300003
1/3/2020,532.75,1930883,7.099976,7254.25,571967,75.600098,191.100006,47572728,2.649994
1/6/2020,524.5,2059404,8.25,7042.399902,748516,211.850098,185.649994,28621212,5.450012
1/7/2020,526.650024,2111349,-2.150024,7073.600098,590500,-31.200196,184.699997,34995035,0.949997
1/8/2020,524.650024,1612378,2,7035.200195,793313,38.399903,182.550003,21862695,2.149994
1/9/2020,541.25,2897598,-16.599976,7227.899902,798184,-192.699707,192,40803142,-9.449997
1/10/2020,546.599976,2355888,-5.349976,7330.5,747847,-102.600098,196.350006,60252338,-4.350006
1/13/2020,554.950012,3442869,-8.350036,7352.700195,537399,-22.200195,196.25,40535961,0.100006
